Step       Direction       FrameID        Data                 TimeStamp
1           Send:          070E     10 03                   2018\5\10\16:07:34:176
2           Receive:       078E     50 03 00 32 01 F4       2018\5\10\16:07:34:180
3           Send:          070E     3E 00                   2018\5\10\16:07:34:187
4           Receive:       078E     7E 00                   2018\5\10\16:07:34:200
5           Send:          07DF     85 02                   2018\5\10\16:07:34:219
6           Receive:       078E     C5 02                   2018\5\10\16:07:34:230
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
350         Receive:       078E     76 7D                   2018\5\10\16:07:54:668
351         Send:          070E     36 7E FF FF FF FF FF    2018\5\10\16:07:54:702
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
352         Receive:       078E     76 7E                   2018\5\10\16:07:54:801
353         Send:          070E     36 7F FF FF FF FF FF    2018\5\10\16:07:54:834
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
354         Receive:       078E     76 7F                   2018\5\10\16:07:54:934
355         Send:          070E     36 80 FF FF FF FF FF    2018\5\10\16:07:54:959
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
356         Receive:       078E     76 80                   2018\5\10\16:07:55:55
357         Send:          070E     36 81 FF FF FF FF FF    2018\5\10\16:07:55:87
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
358         Receive:       078E     76 81                   2018\5\10\16:07:55:172
359         Send:          070E     36 82 FF FF FF FF FF    2018\5\10\16:07:55:202
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
